...1,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,Location,City/County,region,subregion,large_region,price_per_sq_ft
2682,Ethelden Road,1500000,House,1860,4,NA,London,W12,7BG,Outer,806.4516129032259
2683,Kersley Street,1950000,House,2090,4,NA,London,SW11,4PT,Middle,933.0143540669857
2684,Clanricarde Gardens,2150000,Flat / Apartment,1830,4,NA,London,W2,4JH,Middle,1174.863387978142
2685,Clancarty Road,2800000,House,2682,5,Fulham,London,SW6,3BB,Outer,1043.9970171513796
2686,Morella Road,750000,Flat / Apartment,816,2,NA,London,SW12,8UH,Outer,919.1176470588235
2687,Christchurch Road,7000000,House,6388,8,East Sheen,London,SW14,7AN,Further Outer,1095.8046336881653
2688,Chandlers Avenue,395000,Flat / Apartment,553,1,Greenwich,London,SE10,0NN,Outer,714.2857142857143
2689,Elgin Avenue,685000,Flat / Apartment,661,2,Maida Vale,London,W9,1NH,Middle,1036.3086232980334
2690,Ashlar Court,795000,Flat / Apartment,986,2,21 Ravenscourt Gardens,London,W6,0TU,Outer,806.2880324543611
2691,Twyford Abbey Road,699950,House,1029,3,NA,London,NW10,7HG,Outer,680.2235179786201
2692,Lanark Mansions,600000,Flat / Apartment,570,2,14 Lanark Road,London,W9,1DB,Middle,1052.6315789473683
2693,Saltram Crescent,625000,Flat / Apartment,616,2,NA,London,W9,3HR,Middle,1014.6103896103896
2694,Hermitage Court,775000,Flat / Apartment,832,3,Knighten Street,London,E1,1PW,central,931.4903846153846
2695,Television Centre,1175000,Flat / Apartment,880,2,3 Wood Crescent,London,W12,7GN,Outer,1335.2272727272727
2696,Afghan Road,1200000,House,1449,4,NA,London,SW11,2QD,Middle,828.1573498964804
2697,Regents Park Road,3000000,Flat / Apartment,1901,4,Primrose Hill,London,NW1,7TX,central,1578.1167806417675
2699,Elgin Avenue,975000,Flat / Apartment,787,2,Maida Vale,London,W9,2NS,Middle,1238.8818297331638
2700,Cholmeley Park,2650000,Penthouse,2402,5,Highgate,London,N6,5AD,Middle,1103.2472939217319
2701,Castelnau Court,575000,Flat / Apartment,793,3,Barnes,London,SW13,9DH,Further Outer,725.0945775535939
2702,Dawson Place,3750000,Flat / Apartment,1657,3,NA,London,W2,4TJ,Middle,2263.126131563066
2703,Balham Grove,730000,Flat / Apartment,893,2,NA,London,SW12,8AZ,Outer,817.4692049272116
2704,Willoughby Mews,1095000,House,1268,3,NA,London,SW4,0QH,Middle,863.564668769716
2705,Boscobel Place,4400000,House,2087,4,Belgravia,London,S1W,9PE,Further Outer,2108.2894106372783
2706,Culford Grove,1850000,House,1625,4,NA,London,N1,4HR,central,1138.4615384615386
2707,Haverstock Hill,1100000,Flat / Apartment,908,2,Hampstead,London,NW3,2BD,Middle,1211.4537444933922
2709,Coleherne Court,1495000,Flat / Apartment,971,2,The Little Boltons,London,SW5,0DL,Middle,1539.6498455200824
2710,Valley Road,375000,Flat / Apartment,504,1,NA,London,SW16,2AE,Outer,744.047619047619
2711,Tooting High Street,425000,Flat / Apartment,473,1,NA,London,SW17,0GU,Outer,898.5200845665962
2712,Boundaries Road,675000,Flat / Apartment,767,2,NA,London,SW12,8BY,Outer,880.0521512385919
2713,Lonsdale Road,3250000,House,3203,5,Barnes,London,SW13,9ED,Further Outer,1014.6737433655948
2714,Elmhurst Mansions,599950,Flat / Apartment,680,2,Edgeley Road,London,SW4,6HA,Middle,882.2794117647059
2715,Lessar Avenue,1795000,House,2336,5,NA,London,SW4,9HQ,Middle,768.4075342465753
2717,Blakesley Avenue,1000000,Flat / Apartment,1380,2,NA,London,W5,2DW,Further Outer,724.6376811594203
2718,Colinette Road,940000,Flat / Apartment,1155,2,Putney,London,SW15,6QQ,Further Outer,813.8528138528138
2719,Homefield Road,399950,Flat / Apartment,305,1,Wimbledon,London,SW19,4QF,Further Outer,1311.311475409836
2720,Bow Quarter,365000,Flat / Apartment,415,1,60 Fairfield Road,London,E3,2UJ,Middle,879.5180722891566
2721,Marlborough,750000,Flat / Apartment,892,2,Maida Vale,London,W9,1RW,Middle,840.8071748878924
2722,Wandsworth Common West Side,1850000,House,2247,5,Wandsworth,London,SW18,2EE,Outer,823.3199821984869
2724,King Henrys Road,1000000,Flat / Apartment,892,2,Primrose Hill,London,NW3,3QP,Middle,1121.0762331838564
2725,Rutland Gate,1275000,Flat / Apartment,675,2,NA,London,SW7,1PD,Middle,1888.888888888889
2726,Ascensis Tower,2250000,Flat / Apartment,1945,3,Battesea,London,SW18,1AY,Outer,1156.8123393316196
2728,Oakley Square,3750000,House,4847,6,Camden,London,NW1,1NJ,central,773.6744377965751
2729,Liverpool Road,750000,Flat / Apartment,880,2,Lower Holloway,London,N7,8PG,Middle,852.2727272727273
2730,Jasmine House,500000,Flat / Apartment,680,2,Battersea,London,SW18,1GJ,Outer,735.2941176470588
2731,Admiral Court,1600000,Flat / Apartment,1282,2,Chelsea Harbour,London,SW10,0UU,Middle,1248.04992199688
2732,Seward Street,700000,Flat / Apartment,836,2,Clerkenwell,London,EC1,3PA,Further Outer,837.3205741626795
2733,Shirland Road,780000,Flat / Apartment,767,2,Maida Vale,London,W9,2EQ,Middle,1016.9491525423729
2734,Graham Terrace,2750000,House,1782,4,Belgravia,London,S1W,8JE,Further Outer,1543.20987654321
2735,Lexham Gardens,660000,Flat / Apartment,603,1,NA,London,W8,6JE,Middle,1094.5273631840796
2736,Mandrake Road,1195000,House,1602,5,NA,London,SW17,7PT,Outer,745.9425717852685
2737,Inglethorpe Street,1699000,House,1993,5,Fulham,London,SW6,6NX,Outer,852.4836929252383
2739,Blandfield Road,1250000,House,1450,3,NA,London,SW12,8BG,Outer,862.0689655172414
2740,Densham House,800000,Flat / Apartment,945,3,St. John's Wood,London,NW8,7NT,Middle,846.5608465608466
2741,Gorst Road,2250000,House,2351,5,NA,London,SW11,6JE,Middle,957.0395576350489
2742,Horizons Tower,1250000,Flat / Apartment,1203,2,Canary Wharf,London,E14,9RG,Middle,1039.0689941812136
2743,Thirlmere Road,1875000,House,3478,7,NA,London,SW16,1QW,Outer,539.102932719954
2744,Greenford Avenue,1250000,House,2804,5,Hanwell,London,W7,3QS,Further Outer,445.7917261055635
2745,Stokenchurch Street,2750000,House,2605,6,Fulham,London,SW6,3TR,Outer,1055.662188099808
2746,Winfrith Road,550000,Flat / Apartment,896,2,NA,London,SW18,3BD,Outer,613.8392857142857
2747,Great Titchfield Street,745000,Flat / Apartment,703,2,Fitzrovia,London,1W,6RR,Further Outer,1059.7439544807967
2748,Dorland Court,525000,Flat / Apartment,654,2,Putney,London,SW15,2UG,Further Outer,802.7522935779816
2749,Canaletto Tower,1150000,Flat / Apartment,882,2,257 City Road,London,EC1,1AE,Further Outer,1303.8548752834467
2750,Macfarlane Road,2500000,House,2861,5,NA,London,W12,7JY,Outer,873.8203425375742
2752,Elsworthy Rise,1050000,New development,612,1,Primrose Hill,London,NW3,3DS,Middle,1715.686274509804
2753,Bickenhall Street,2900000,Penthouse,1455,2,Marylebone,London,W1,6BN,central,1993.127147766323
2754,Upper Wimpole Street,11950000,House,7226,5,Marylebone,London,W1,6LU,central,1653.7503459728757
2757,Streathbourne Road,1975000,House,2910,7,NA,London,SW17,8QY,Outer,678.6941580756014
2758,Fairfax Road,2800000,House,2959,5,Chiswick,London,W4,1EW,Further Outer,946.2656302805002
2759,Cranley Gardens,1400000,Flat / Apartment,732,2,South Kensington,London,SW7,3BD,Middle,1912.568306010929
2760,White Hart Lane,725000,Flat / Apartment,1242,2,Barnes,London,SW13,0PZ,Further Outer,583.7359098228663
2761,Chenies Mews,2000000,Flat / Apartment,1335,2,NA,London,WC1,6HU,Further Outer,1498.1273408239701
2762,Overstrand Mansions,850000,Flat / Apartment,838,2,Prince of Wales Drive,London,SW11,4HA,Middle,1014.3198090692124
2763,Tottenham Road,255000,Flat / Apartment,440,1,De Beauvoir,London,N1,4EP,central,579.5454545454545
2764,Englewood Road,795000,Flat / Apartment,919,2,NA,London,SW12,9NZ,Outer,865.0707290533188
2765,Hollen Street,1500000,New development,843,1,Soho,London,W1,8AZ,central,1779.3594306049822
2766,One Kensington Gardens,5950000,Penthouse,1993,3,4 De Vere Gardens,London,W8,5AE,Middle,2985.449071751129
2767,Courtnell Street,3250000,House,1813,3,NA,London,W2,5BX,Middle,1792.6089354660783
2768,Chi Building,550000,Flat / Apartment,893,2,54 Crowder Street,London,E1,0EZ,central,615.9014557670773
2769,Patshull Road,500000,Flat / Apartment,418,1,Kentish Town,London,NW5,2JY,Middle,1196.1722488038276
2770,Ernle Road,2950000,House,3601,6,Wimbledon,London,SW20,0HJ,Further Outer,819.2168841988337
2771,Vanderbilt Road,1135000,House,1675,4,Wandsworth,London,SW18,3BG,Outer,677.6119402985074
2773,Freegrove Road,1799500,House,2761,6,Holloway,London,N7,9RG,Middle,651.7566099239406
2774,Dalston Lane,650000,Flat / Apartment,1018,2,Hackney,London,E8,1LX,Middle,638.5068762278978
2775,Wild Hatch,2350000,House,2835,4,Hampstead Garden Suburb,London,NW11,7LD,Outer,828.9241622574956
2776,Earl's Court Square,795000,Flat / Apartment,666,2,NA,London,SW5,9DG,Middle,1193.6936936936936
2777,Keepier Wharf,1900000,Flat / Apartment,1963,4,Limehouse,London,E14,8DH,Middle,967.9062659195109
2778,Cambridge Road,1950000,House,1907,5,Barnes,London,SW13,0PG,Further Outer,1022.5485055060304
2780,Palace Gate,1850000,Flat / Apartment,1332,2,NA,London,W8,5LY,Middle,1388.888888888889
2781,Academy Gardens,4950000,New development,2011,2,Duchess of Bedfords Walk,London,W8,7QQ,Middle,2461.4619592242666
2783,Nutley Terrace,3995000,House,3480,3,Hampstead,London,NW3,5BX,Middle,1147.9885057471265
2784,St. Edmunds Terrace,6975000,Flat / Apartment,2583,3,St John's Wood,London,NW8,7ED,Middle,2700.348432055749
2785,Dunstable Mews,2250000,House,1269,2,Marylebone,London,W1,6BT,central,1773.049645390071
2786,Elm Grove Road,2595000,House,3100,5,Barnes,London,SW13,0BX,Further Outer,837.0967741935484
2787,Abbotts Close,650000,Flat / Apartment,767,2,Islington,London,N1,2HJ,central,847.457627118644
2788,Carmichael Court,685000,Flat / Apartment,783,3,Barnes,London,SW13,0HA,Further Outer,874.8403575989782
2789,Pont Street,19450000,Flat / Apartment,4699,5,NA,London,SW1,0AD,central,4139.1785486273675
2791,Mint Street,600000,Flat / Apartment,1026,3,Bethnal Green,London,E2,6FX,central,584.7953216374269
2792,Amhurst Road,515000,Flat / Apartment,518,1,Hackney,London,E8,1JH,Middle,994.2084942084942
2793,Calico Apartments,699950,Flat / Apartment,743,2,18A Varden Street,London,E1,2AR,central,942.0592193808883
2794,College Court,750000,Flat / Apartment,1072,4,Queen Caroline Street,London,W6,9DY,Outer,699.6268656716418
2795,Battersea Park Road,599950,Flat / Apartment,657,2,Battersea,London,SW11,4ND,Middle,913.165905631659
2796,Clapham Common North Side,2695000,House,2567,5,NA,London,SW4,9SD,Middle,1049.8636540708999
2797,Coleherne Mews,3600000,New development,2000,3,NA,London,SW10,9DZ,Middle,1800
2798,Maine Tower,1050000,New development,1075,3,Canary Wharf,London,E14,9DQ,Middle,976.7441860465116
2800,Pendant Court,575000,Flat / Apartment,810,2,Newham,London,E16,2TF,Outer,709.8765432098766
2801,Yvon House,500000,Flat / Apartment,536,1,Alexandra Avenue,London,SW11,4GA,Middle,932.8358208955224
2802,Norton House,795000,Flat / Apartment,753,2,Duke of Wellington Avenue,London,SE18,6EY,Further Outer,1055.7768924302788
2803,Coborn Mews,550000,Flat / Apartment,574,2,Coborn Street,London,E3,2AB,Middle,958.1881533101046
2804,Television Centre,1235000,Flat / Apartment,960,2,4 Wood Crescent,London,W12,7GP,Outer,1286.4583333333333
2805,Montagu Square,2595000,Flat / Apartment,1452,3,Marylebone,London,W1,2LW,central,1787.190082644628
2807,Church Path,900000,House,1467,3,Bollo Bridge Road,London,W3,8AY,Further Outer,613.4969325153374
2808,Blurton Road,1275000,House,1730,3,NA,London,E5,0NH,Middle,736.9942196531792
2809,Prince Albert Court,2700000,Flat / Apartment,1665,3,33 Prince Albert Road,London,NW8,7LU,Middle,1621.6216216216217
2810,Apex House,650000,Flat / Apartment,798,3,Brick Lane,London,E1,6LF,central,814.5363408521304
2811,Gowrie Road,475000,Flat / Apartment,425,1,NA,London,SW11,5NR,Middle,1117.6470588235295
2812,Landor Road,450000,Flat / Apartment,647,1,NA,London,SW9,9PH,Middle,695.5177743431221
2813,Queensland Road,550000,New development,728,2,Highbury,London,N7,7EZ,Middle,755.4945054945055
2814,Sigdon Road,1150000,House,1398,3,Hackney,London,E8,1AP,Middle,822.6037195994278
2815,Weston Road,595000,Flat / Apartment,702,2,Chiswick,London,W4,5NH,Further Outer,847.5783475783476
2816,Princes Gate,7500000,Flat / Apartment,2290,3,NA,London,SW7,1QJ,Middle,3275.109170305677
2817,Westover Hill,4850000,House,5613,5,Hampstead,London,NW3,7UH,Middle,864.06556208801
2818,Rusholme Road,3195000,House,4923,6,Putney,London,SW15,3JX,Further Outer,648.9945155393053
2819,Ardwick Road,795000,New development,925,2,Fortune Green,London,NW2,2BX,Outer,859.4594594594595
2821,Cedars Mews,2295000,House,2454,4,NA,London,SW4,0QD,Middle,935.2078239608802
2822,Endlesham Road,2800000,House,2872,5,NA,London,SW12,8JL,Outer,974.9303621169917
2823,Kingswood Road,1450000,House,2147,3,NA,London,SW19,3ND,Further Outer,675.3609687936656
2824,Althorp Road,2950000,New development,3336,6,NA,London,SW17,7ED,Outer,884.2925659472422
2825,Homestead Road,625000,Flat / Apartment,537,2,Fulham,London,SW6,7DB,Outer,1163.873370577281
2826,Chaucer Road,1000000,House,1502,3,NA,London,W3,6DP,Further Outer,665.7789613848203
2827,Eltham Court,575000,New development,800,2,West Ealing,London,W13,8RA,Further Outer,718.75
2829,Moira Court,425000,Flat / Apartment,590,2,Balham High Road,London,SW17,7AQ,Outer,720.3389830508474
2830,Hannaford Walk,349995,Flat / Apartment,486,1,NA,London,E3,3TF,Middle,720.1543209876543
2832,Godolphin Road,1800000,House,2366,4,NA,London,W12,8JN,Outer,760.777683854607
2833,Poplar Grove,1050000,Flat / Apartment,958,2,NA,London,W6,7RF,Outer,1096.0334029227558
2834,Fulham Park Gardens,1600000,Flat / Apartment,1763,4,Fulham,London,SW6,4JZ,Outer,907.5439591605218
2835,Lonsdale Road,4500000,House,3908,6,Barnes,London,SW13,9JS,Further Outer,1151.484135107472
2837,Dolben Court,1200000,Flat / Apartment,1083,2,Montaigne Close,London,SW1,4BB,central,1108.03324099723
2838,Kingston House South,2495000,Flat / Apartment,1753,3,Ennismore Gardens,London,SW7,1NF,Middle,1423.2743867655447
2839,Cabul Road,1275000,House,1750,4,Battersea,London,SW11,2PN,Middle,728.5714285714286
2840,Dalmeny Court,1500000,Flat / Apartment,798,2,St. James's,London,SW1,6BL,central,1879.6992481203008
2841,Shirland Road,600000,Flat / Apartment,630,2,Maida Vale,London,W9,2EL,Middle,952.3809523809524
2842,Randolph Avenue,1100000,Flat / Apartment,908,2,NA,London,W9,1PF,Middle,1211.4537444933922
2843,Grand Drive,575000,House,971,3,Raynes Park,London,SW20,9DG,Further Outer,592.173017507724
2844,Mandalay Road,925000,Flat / Apartment,893,2,Clapham,London,SW4,9EE,Middle,1035.8342665173573
2846,Southwell Gardens,4750000,Flat / Apartment,2500,3,NA,London,SW7,4SB,Middle,1900
2847,Napier Road,2000000,House,2189,3,NA,London,W14,8LQ,Outer,913.6592051164915
2849,Fielding Road,1300000,House,1347,3,Chiswick,London,W4,1DB,Further Outer,965.1076466221232
2850,Schubert Road,1100000,Flat / Apartment,2043,4,Putney,London,SW15,2QS,Further Outer,538.4238864415075
2851,Great Eastern Street,1200000,Flat / Apartment,890,1,NA,London,EC2,3EP,Further Outer,1348.314606741573
2852,Nottingham Place,9250000,House,5139,4,NA,London,W1,5LU,central,1799.961081922553
2855,Mallinson Road,925000,Flat / Apartment,944,2,NA,London,SW11,1BP,Middle,979.8728813559322
2856,Addisland Court,1450000,Flat / Apartment,961,2,Holland Villas Road,London,W14,8DA,Outer,1508.8449531737774
2858,Ashburn Gardens,2195000,Flat / Apartment,1623,3,NA,London,SW7,4DG,Middle,1352.433764633395
2859,Bazalgette Court,550000,Flat / Apartment,797,2,Great West Road,London,W6,9AG,Outer,690.0878293601004
2861,Deodar Road,1375000,House,1360,3,Putney,London,SW15,2NJ,Further Outer,1011.0294117647059
2862,Thirsk Road,799999,Flat / Apartment,1090,2,NA,London,SW11,5SU,Middle,733.9440366972477
2863,Boyd Building,440000,Flat / Apartment,847,2,10 Frobisher Yard,London,E16,2GY,Outer,519.4805194805194
2864,Nottingham Place,3500000,Flat / Apartment,1956,3,Marylebone,London,W1,5NH,central,1789.3660531697342
2865,Craig Tower,475000,Flat / Apartment,895,2,Bow,London,E3,4EF,Middle,530.7262569832402
2866,Cavendish Road,825000,Flat / Apartment,1312,3,Brondesbury,London,NW6,7XP,Middle,628.810975609756
2867,Meadowbank,3500000,House,2956,5,Primrose Hill,London,NW3,3AY,Middle,1184.0324763193505
2869,Draycott Place,2750000,Flat / Apartment,1474,3,NA,London,SW3,2SB,Middle,1865.6716417910447
2870,Mogul Building,625000,Flat / Apartment,928,2,Stratford,London,E15,1FY,Outer,673.4913793103449
2871,Boat Race House,1295000,New development,1487,2,63 Mortlake High Street,London,SW14,8HL,Further Outer,870.880968392737
2872,West Hill Road,2950000,House,2995,5,Putney,London,SW18,1LE,Outer,984.9749582637729
2873,Porchester Road,899995,Flat / Apartment,834,2,Notting Hill,London,W2,5DP,Middle,1079.130695443645
2874,Alvington Crescent,1300000,House,1907,4,Hackney,London,E8,2NW,Middle,681.6990036706869
2875,Elizabeth Mews,1495000,House,1020,2,Belsize Park,London,NW3,4UH,Middle,1465.686274509804
2876,Keble Place,795000,Flat / Apartment,922,2,Barnes,London,SW13,8HL,Further Outer,862.2559652928417
2877,Chiswick Quay,1450000,House,2106,4,Chiswick,London,W4,3UR,Further Outer,688.5090218423552
2878,Sugden Road,795000,Flat / Apartment,860,2,NA,London,SW11,5ED,Middle,924.4186046511628
2879,Barmouth Road,765000,Flat / Apartment,993,2,Wandsworth,London,SW18,2DT,Outer,770.392749244713
2880,Vicarage Drive,2150000,House,2309,5,NA,London,SW14,8RX,Further Outer,931.1390212213079
2881,Ivory House,825000,Flat / Apartment,616,1,East Smithfield,London,E1,1AT,central,1339.2857142857142
2882,Pond Place,9500000,House,4277,4,NA,London,SW3,6QJ,Middle,2221.183072246902
2883,Knivet Road,1575000,House,1703,4,Fulham,London,SW6,1JJ,Outer,924.8385202583676
2885,Wandsworth Road,1350000,House,1900,4,NA,London,SW8,3JF,Middle,710.5263157894736
2886,Hans Crescent,2050000,Flat / Apartment,1003,2,NA,London,SW1,0LJ,central,2043.8683948155533
2887,Beaufort Gardens,1999950,Flat / Apartment,802,2,NA,London,SW3,1PS,Middle,2493.7032418952617
2888,Pond Street,875000,Flat / Apartment,943,2,Hampstead,London,NW3,2PS,Middle,927.8897136797455
2889,Glenburnie Road,1275000,House,1445,3,NA,London,SW17,7NE,Outer,882.3529411764706
2890,Barrowgate Road,2850000,House,2833,5,Chiswick,London,W4,4QU,Further Outer,1006.0007059654077
2891,Bath Road,3500000,House,3775,7,Bedford Park,London,W4,1LJ,Further Outer,927.1523178807947
2892,Stanlake Road,1875000,House,2618,5,NA,London,W12,7HG,Outer,716.1955691367456
2893,Bridge Street,2100000,House,2139,5,Chiswick,London,W4,5UF,Further Outer,981.7671809256663
2894,Abbey Lodge,3750000,Flat / Apartment,2315,4,St John's Wood,London,NW8,7RJ,Middle,1619.8704103671707
2895,Blomfield Road,2450000,Flat / Apartment,1289,2,Little Venice,London,W9,2PD,Middle,1900.6982156710628
2896,Arena Tower,498000,Flat / Apartment,554,1,Canary Wharf,London,E14,9TA,Middle,898.9169675090253
2897,Oxborough House,590000,Flat / Apartment,795,2,33 Eltringham Street,London,SW18,1GS,Outer,742.1383647798742
2898,Clerkenwell Road,900000,Flat / Apartment,756,2,NA,London,EC1,5PY,Further Outer,1190.4761904761904
2899,Cranley Gardens,1195000,Flat / Apartment,850,1,NA,London,SW7,3DD,Middle,1405.8823529411766
2900,Courtfield Gardens,2195000,Flat / Apartment,1268,2,NA,London,SW5,0PD,Middle,1731.0725552050474
2901,Bassein Park Road,2400000,House,3029,6,NA,London,W12,9RZ,Outer,792.3407065037966
2902,Park Mansions,850000,Flat / Apartment,975,3,Battersea,London,SW11,4HQ,Middle,871.7948717948718
2904,Manor House,1025000,Flat / Apartment,1070,3,Marylebone,London,NW1,5NP,central,957.9439252336449
2905,Balcombe Street,520000,Flat / Apartment,411,1,Marylebone,London,NW1,6HD,central,1265.206812652068
2906,Charlwood Road,1950000,House,2158,3,Putney,London,SW15,1PW,Further Outer,903.6144578313254
2907,Corinthia Residences,8950000,New development,2956,3,10 Whitehall Place,London,SW1,2BD,central,3027.7401894451964
2908,Crane Grove,799950,House,686,2,NA,London,N7,8LE,Middle,1166.1078717201167
2909,Lansdowne Drive,1295000,House,1364,3,Hackney,London,E8,3ER,Middle,949.4134897360703
2911,Dartmouth Terrace,410000,Flat / Apartment,547,1,Blackheath,London,SE10,8AX,Outer,749.5429616087752
2912,Embassy Works,625000,Flat / Apartment,541,1,10-12 Lawn Lane,London,SW8,1UD,Middle,1155.268022181146
2913,Dance Square,650000,Flat / Apartment,571,1,NA,London,EC1,3AN,Further Outer,1138.353765323993
2914,Beacon Tower,595000,Flat / Apartment,735,2,1 Spectrum Way,London,SW18,4GL,Outer,809.5238095238095
2915,Tamarind Court,2650000,New development,1191,2,Stone Hall Gardens,London,W8,5UP,Middle,2225.0209907640638
2916,Wandsworth Common West Side,2500000,House,2882,6,Wandsworth,London,SW18,2ED,Outer,867.4531575294934
2917,Queenstown Road,950000,House,1661,4,Battersea,London,SW8,3QD,Middle,571.944611679711
2919,Heath Rise,1225000,Flat / Apartment,2056,3,Putney,London,SW15,3HF,Further Outer,595.817120622568
2920,Pembridge Villas,1795000,Flat / Apartment,1118,2,Notting Hill,London,W11,3EL,Middle,1605.545617173524
2922,Holroyd Road,2295000,House,2899,4,Putney,London,SW15,6LN,Further Outer,791.6522938944464
2923,Campden Hill Court,5000000,Flat / Apartment,2248,4,Campden Hill Road,London,W8,7HX,Middle,2224.1992882562276
2924,Campion Road,2895000,House,3414,6,Putney,London,SW15,6NN,Further Outer,847.9789103690686
2925,Rutland Gate,1000000,Flat / Apartment,728,2,NA,London,SW7,1BH,Middle,1373.6263736263736
2926,Highbury New Park,625000,Flat / Apartment,825,2,NA,London,N5,2DJ,Middle,757.5757575757576
2927,Freeland Road,3000000,House,4088,6,Ealing,London,W5,3HR,Further Outer,733.8551859099804
2928,Edge Hill,3950000,New development,4438,5,Wimbledon,London,SW19,4NP,Further Outer,890.0405588102749
2929,Gorst Road,2999000,House,3295,6,NA,London,SW11,6JE,Middle,910.1669195751138
2930,Gloucester Street,965000,Flat / Apartment,925,2,Pimlico,London,SW1,2DB,central,1043.2432432432433
2931,Byfeld Gardens,2000000,House,2127,4,Barnes,London,SW13,9HP,Further Outer,940.2914903620123
2933,Marryat Place,3450000,New development,3802,5,Wimbledon,London,SW19,5BL,Further Outer,907.4171488690163
2934,Callow Street,895000,Flat / Apartment,555,1,NA,London,SW3,6BJ,Middle,1612.6126126126126
2936,Stanley Grove,1095000,House,1256,4,NA,London,SW8,3PB,Middle,871.8152866242038
2937,West Eaton Place Mews,5650000,House,2753,4,Belgravia,London,SW1,8LY,central,2052.306574645841
2938,Foyle Road,2820000,New development,3900,5,Blackheath,London,SE3,7RH,Outer,723.0769230769231
2939,Worple Avenue,2250000,House,2835,5,Wimbledon,London,SW19,4JQ,Further Outer,793.6507936507936
2940,Speldhurst Road,1450000,House,1667,4,South Hackney,London,E9,7EH,Middle,869.8260347930413
2941,City Road,700000,Flat / Apartment,997,2,NA,London,EC1,2NR,Further Outer,702.1063189568706
2942,Exchange Building,1850000,Penthouse,1836,2,Spitalfields,London,E1,6NQ,central,1007.6252723311546
2943,Doughty Street,3000000,House,3325,7,Bloomsbury,London,WC1,2AA,Further Outer,902.2556390977444
2944,Boundaries Road,1525000,House,2232,5,NA,London,SW12,8HG,Outer,683.2437275985664
2945,Hatton Wall,1350000,Penthouse,1117,2,Clerkenwell,London,EC1,8JJ,Further Outer,1208.5944494180842
2946,Dallington Street,625000,Flat / Apartment,636,1,Clerkenwell,London,EC1,0DB,Further Outer,982.7044025157232
2947,Marville Road,1650000,House,1576,4,Fulham,London,SW6,7BB,Outer,1046.9543147208121
2948,Inverness Street,450000,Flat / Apartment,500,1,Camden,London,NW1,7HB,central,900
2949,Telford Terrace,1625000,House,1372,4,NA,London,SW1,3AE,central,1184.402332361516
2951,Rosebery Avenue,850000,Flat / Apartment,848,2,Clerkenwell,London,EC1,4UL,Further Outer,1002.3584905660377
2953,Chiswick Quay,2250000,House,2469,4,NA,London,W4,3UR,Further Outer,911.3001215066829
2954,Hamilton Terrace,3950000,House,2803,5,St. John's Wood,London,NW8,9UG,Middle,1409.204423831609
2955,Surrey Square,1750000,House,2396,5,NA,London,SE17,2JX,Middle,730.3839732888147
2956,Newcastle House,1195000,Flat / Apartment,678,1,Marylebone,London,W1,5BR,central,1762.5368731563422
2957,Magdalen Road,650000,Flat / Apartment,1077,2,Wandsworth,London,SW18,3NY,Outer,603.5283194057567
2958,Perrymead Street,3000000,House,3027,5,Parsons Green,London,SW6,3SN,Outer,991.0802775024777
2959,Ceram Court,550000,Flat / Apartment,960,2,Bow,London,E3,3GW,Middle,572.9166666666666
2960,Bristol House,1000000,Flat / Apartment,659,1,67 Lower Sloane Street,London,S1W,8DD,Further Outer,1517.4506828528072
2961,Park Square East,9950000,House,4876,6,Regent's Park,London,NW1,4LH,central,2040.6070549630845
2962,Chelsea Square,11950000,House,4785,5,NA,London,SW3,6LH,Middle,2497.387669801463
2963,Trefoil Road,1500000,House,2123,5,Wandsworth,London,SW18,2EQ,Outer,706.547338671691
2964,Leathwaite Road,599999,Flat / Apartment,665,2,NA,London,SW11,1XG,Middle,902.2541353383459
2965,Nevern Square,995000,Flat / Apartment,1021,2,NA,London,SW5,9NN,Middle,974.5347698334966
2966,Plender Street,525000,Flat / Apartment,565,1,Camden,London,NW1,0LB,central,929.2035398230089
2967,Ebury Street,2395000,Flat / Apartment,1190,3,NA,London,S1W,0PA,Further Outer,2012.6050420168067
2968,Abingdon Court,2100000,Flat / Apartment,1367,3,Kensington,London,W8,6BS,Middle,1536.2106803218728
2969,Geraldine Road,800000,Flat / Apartment,1044,2,Wandsworth,London,SW18,2NT,Outer,766.2835249042146
2970,Glenalmond House,885000,Flat / Apartment,1113,3,Putney,London,SW15,3LP,Further Outer,795.1482479784366
2971,Howards Lane,2395000,House,2881,5,Putney,London,SW15,6NZ,Further Outer,831.3085734120098
2972,Maitland Court,1680000,Flat / Apartment,1502,3,Paddington,London,W2,3PD,Middle,1118.508655126498
2973,Thornton Avenue,2000000,House,2178,4,Chiswick,London,W4,1QF,Further Outer,918.2736455463728
2974,Corney Reach Way,1175000,House,1752,3,Chiswick,London,W4,2TY,Further Outer,670.662100456621
2975,Fulham Park Gardens,2350000,House,2720,6,Fulham,London,SW6,4JX,Outer,863.9705882352941
2977,Chepstow Road,1550000,Flat / Apartment,1227,2,Notting Hill,London,W2,5BH,Middle,1263.243683781581
2978,St. Dionis Road,2500000,House,2314,4,Fulham,London,SW6,4TT,Outer,1080.3802938634399
2979,Weststand Apartments,695000,Flat / Apartment,871,2,Highbury Stadium Square,London,N5,1FH,Middle,797.9334098737083
2981,Philbeach Gardens,4950000,House,4622,6,NA,London,SW5,9EB,Middle,1070.9649502379923
